"count";"name";"model";"sku";"price";"discriptions";"foto";"cat1";"cat2";"cat3"
998;"Кастрюля кр 195 мл Теракота 19954";"24-171-021";"24-171-021- yavshoke";92;"<p>атериал – керамика<br> Объем – 195 мл<br> Можно использовать в микроволновых печах<br> Можно мыть в посудомоечной машине<br> Характеристики<br> Бренд: VILA RICA<br> Тип: Кастрюля<br> Артикул: 24-171-021</p>";"data/yavshoke/422545224_w640_h640_cid435614_pid293666970-1c08eb46.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли для духовок и микроволновок"
998;"Жаропрочная керамическая кастрюля 2,75л чорная Sacher 00064SHKP";"00064SHKP";"00064SHKP- yavshoke";288;"<ul>
<li>Тип: кастрюля</li> <li>Объем: 2.75 л</li> <li>Материал: керамика</li> <li>Материал крышки: керамика</li> <li>
Ручки: керамические</li> <li>Торговая марка: Sacher</li> <li>Крышка в комплекте</li> <li>Цвет: черный
</li> <li>Для использование в духовке</li> <li>Возможно мытье в посудомойке</li> <li>Керамические кастрюли Sacher изготовлены из экологически чистой глины, что обеспечивает ее долговечность и абсолютную безопасность для здоровья. Продукты, приготовленные в такой посуде максимально сохраняют свой изначальный вид и пользу. Также эта кастрюля долго сохраняет тепло и хорошо выдерживает перепады температуры</li> </ul>";"data/yavshoke/272440475_w640_h640_shkp00063_shkp___shkp00065.png";"Кухня и столовая";"Кухонная посуда";"Кастрюли для духовок и микроволновок"
998;"Кастрюля керамическая 195мл Табако-Крем 19979";"24-171-046";"24-171-046- yavshoke";90;"
<p>Описание Кастрюля с крышкой Vila Rica Табако-Крем 195 мл (24-171-046)</p> <p>Посуда ТМ Vila Rica – жаропрочная, изготовлена в результате уникального сочетания ручного труда, высоких технологий и специального сырья. Глазурь на продукцию наносится вручную, в результате чего она получается качественной, абсолютно нетоксичной и идеальной для повседневного использования. Выдерживает температуру до 300 градусов, не предназначена для использования на открытом огне. Такая посуда может стать прекрасным подарком для любителей традиционных и функциональных предметов в интерьере кухни.</p> <p>Характеристики :<br> Тип: кастрюля;<br> Диаметр: 10 см;<br> Объем: 1,95 л;<br> Материал: керамика.</p>
";"data/yavshoke/422545225_w640_h640_cid435614_pid293666971-06aa5ed7.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли для духовок и микроволновок"
998;"Кастрюля Maestro МR-5007 0,7L круглая Maestro";5007;"5007- yavshoke";96;"
<p>Кастрюля для СВЧ круглая Maestro по современному дизайну имеет привлекательный вид. Приготовленное в красивой кастрюле блюдо можно сразу из духовки ставить на обеденный стол без риска нарушить гармонию сервировки.</p> <p>Особенности:</p> <ul>
<li>Объем 0,7 л</li> <li>Термостойкое боросиликатное стекло</li> <li>Ручки для удобства использования</li> <li>Возможность использования в духовых шкафах и микроволно- вых печах</li> <li>Возможность использования в посудомоечной машине
</li> <li>Выдерживает температуру до 250°С</li> <li>Возможность хранить в морозильной камере до -20°С</li> <li>Не предназначено для открытого огня</li> </ul>
";"data/yavshoke/459758346_w640_h640_502611_1.png";"Кухня и столовая";"Кухонная посуда";"Кастрюли для духовок и микроволновок"
998;"Кастрюля 1л Simax s6256 6266";"s6256-6266";"s6256-6266- yavshoke";120;"
<strong>Кастрюля для запекания с крышкой Simax (s6256-6266) 1,0л<br></strong><br><br>– Материал: термостойкое стекло<br>– Размер: 18х8 см<br>– Объем: 1,0 л<br>– Форма: круглая<br>– Стеклянная крышка<br>– Допускается использование в духовом шкафу, микроволновке, посудомойной машине<br>– Цвет: прозрачный<br><br><br><strong>Характеристики:</strong><ul>
<li>Обьем, л.: 1,0</li>
<li>Материал: Стекло</li>
<li>Форма: Круглая</li>
</ul>
";"data/yavshoke/410528623_w640_h640_cid435614_pid263155758-c507e650.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли для духовок и микроволновок"
998;"Кастрюля с крышкой 0,7л 160х70мм.Color Simax s6056 6066";"s6056-6066";"s6056-6066- yavshoke";112;"
<strong>Кастрюля для запекания с крышкой Simax (s6056-6066) 0,7л</strong><br><br>– Материал: термостойкое стекло<br>– Размер: 16х7 см<br>– Объем: 0,7 л<br>– Форма: круглая<br>– Стеклянная крышка 0,3л<br>– Допускается использование в духовом шкафу, микроволновке, посудомойной машине<br>– Цвет: прозрачный<br><br><br><strong>Характеристики:</strong><ul>
<li>Обьем, л.: 0,7</li>
<li>Материал: Стекло</li>
<li>Форма: Круглая</li>
</ul>
";"data/yavshoke/410527818_w640_h640_cid435614_pid263155760-f456aea3.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли для духовок и микроволновок"
998;"Кастрюля с крышкой 1,5л, 205х93мм.Color Simax s6106 6116";"s6106-6116";"s6106-6116- yavshoke";122;"
<strong>Кастрюля для запекания Simax (6106-6116) 1,5л<br></strong><br><br>– Материал: термостойкое стекло<br>– Размер: 20,5х9,3 см<br>– Объем: 1,5 л<br>– Форма: круглая<br>– Стеклянная крышка<br>– Допускается использование в духовом шкафу, микроволновке, посудомойной машине<br>– Цвет: прозрачный<br><br><br><strong>Характеристики:</strong><ul>
<li>Обьем, л.: 1,5</li>
<li>Материал: Стекло</li>
</ul>
";"data/yavshoke/410527820_w640_h640_cid435614_pid263155761-248c7d45.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли для духовок и микроволновок"
998;"Кастрюля с крышкой 3,5л, 268х118мм.Color Simax s6226 6236";"s6226-6236";"s6226-6236- yavshoke";216;"
<strong>Кастрюля для запекания Simax (s6226-6236) 3,5л<br></strong><br><br>– Материал: термостойкое стекло<br>– Размер: 26,8х11,8 см<br>– Объем: 3,5 л<br>– Форма: круглая<br>– Стеклянная крышка<br>– Допускается использование в духовом шкафу, микроволновке, посудомойной машине<br>– Цвет: прозрачный<br><br><br><strong>Характеристики:</strong><ul>
<li>Обьем, л.: 3,5</li>
<li>Материал: Стекло</li>
<li>Форма: Круглая</li>
</ul>
";"data/yavshoke/410527821_w640_h640_cid435614_pid263155762-cc23d70b.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли для духовок и микроволновок"
998;"Кастрюля с крышкой Exclusive 1,5л, 234 93мм Color Simax s6906 6916";"s6906-6916";"s6906-6916- yavshoke";220;"
<strong>Кастрюля для запекания Simax Exclusive 6906-6916 1,5л<br></strong><br><br>– Материал: термостойкое стекло<br>– Размер: 23,4х9,3 см<br>– Объем: 1,5 л<br>– Форма: круглая<br>– Стеклянная крышка<br>– Допускается использование в духовом шкафу, микроволновке, посудомойной машине<br>– Цвет: прозрачный<br><br><br><strong>Характеристики:</strong><ul>
<li>Обьем, л.: 1,5</li>
<li>Материал: Стекло</li>
</ul>
";"data/yavshoke/410527822_w640_h640_cid435614_pid263155763-133221e8.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли для духовок и микроволновок"
998;"Кастрюля 2л Simax s6026 6036";"s6026-6036";"s6026-6036- yavshoke";145;"
<strong>Кастрюля для запекания с крышкой Simax (s6026-6036) 2,0л<br></strong><br><br>– Материал: термостойкое стекло<br>– Размер: 22,8х10см<br>– Объем: 2,0 л<br>– Форма: круглая<br>– Стеклянная крышка<br>– Допускается использование в духовом шкафу, микроволновке, посудомойной машине<br>– Цвет: прозрачный<br><br><br><strong>Характеристики:</strong><ul>
<li>Обьем, л.: 2,0</li>
<li>Материал: Стекло</li>
<li>Форма: Круглая</li>
</ul>
";"data/yavshoke/410527824_w640_h640_cid435614_pid263155764-1bac1144.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли для духовок и микроволновок"
